Enlace,Titulo,Hashtags,Otros,Texto
https://youtu.be/FV7U4eaF2uI,Consultar una declaración de la renta de hace varios años.,#irpf #renta,,"Vamos a consultar una declaración de la renta de hace unos años. Entramos en la página de la agencia tributaria. Pinchamos en irpf, nos pedirá que nos identifiquemos, luego en consulta de declaraciones resentadas, ponemos de que año la queremos.Ya la tenemos."
https://youtu.be/GQIhmzziHxs,Certificado covid en el movil,#covid #certificadocovid,,"Vamos a sacar el certificado covid con el móvil en Andalucía. Entramos en clic salud. y nos identificaremos. entraremos en certificado covid 19, ve a certificado covid de la U E y dale a imprimir Puede que tarde unos segundos. Ten paciencia. Tendrás el documento en la carpeta descargas de tu móvil Te recomiendo que le hagas un acceso directo en el escritorio para tenerlo a mano cuando te haga falta."
https://youtu.be/1Wtia46A11c,OCR con Google Lens,#ocr,,"Una forma de usar el móvil como OCR Me han enviado una imagen con un texto, pero es una imagen, yo quiero pasarla a texto. He hecho un pantallazo y después he abierto la App Google Lens, y lo he buscado en los pantallazos, he elegido texto y le he dado a copiar, ya lo tengo en el portapapeles del móvil Y si le doy a copiar en un ordenador me lo pasa directamente al portapapeles del ordenador y ya con eso puedo pegar con control v en un archivo de texto que esté editando. Google Lens sirve para traducir un texto o para hacer OCR de una imagen que tengas en la galería o enfocando con la cámara. También es capaz de leer en voz alta cualquier texto en cualquier idioma.."
https://youtu.be/mgJWFLrI5BQ,Escanear con el móvil utilizando Drive de Google,#scan,,"Puedes escanear un documento con drive, sin utilizar otros productos que cuestan dinero o trae publicidad o quien sabe si virus. Entra en Drive, pulsa en el más para crear un documento nuevo Luego dale a escanear, se activará la cámara y haz una foto a lo que quieras escanear. Ponle nombre. ya puedes ver el resultado, estará recortado cuadrado y corregido . guárdalo y ya puedes enviar una copia por ejemplo por WhatsApp."
https://youtu.be/S1PmWUIrZAQ,Comunicación al SEPE de variación de rentas,#sepe,,"Cuando estas cobrando un subsidio, tienes la obligación de comunicar las variaciones de tu renta. desde hace poco se puede hacer telemáticamente. entra en la web del SEPE y entra en sede electrónica te identificarás, y pincha donde pone personas y entra donde pone comunicación de variaciones Si usas clave permanente ten en cuenta el aviso Entra en comunicación de la variación. Ve a rentas ciudadano Te presentará una pantalla para activar las notificaciones electrónicas. Puedes cambiar los datos de cada tipo de renta. Señala el check si la actividad que realizas no requiere estar dado de alta en el Régimen de la Seguridad Social. En cuyo caso podrás detallarlo También puedes anexar un documento acreditativo. Ya puedes firmarlo para comunicar el cambio. Si todo ha ido bien, podrás ver el documento y bajarlo para archivarlo o imprimirlo. Si no tienes informado el correo electrónico podrás informarlo en este momento"
https://youtu.be/CDvVHYRs0i8,Registrarse en Cl@ve con certificado digital,#clave,,"Clave permanente. https://clave.gob.es/clave_Home/registro/Como-puedo-registrarme.html Voy a explicar como sacar la clave permanente utilizando el certificado digital así podrás hacer trámites en dispositivos donde no tengas instalado el certificado. Entra el esta dirección, el enlace te lo dejo en la descripción pincha en ""con certificado electrónico"" Te mostrará un tutorial, y te mostrará 6 pasos. Pero, te lo resumo Ve al paso 6. Selecciona registrarse con certificado digital. Te pedirá el DNI y una vez lo pongas te pedirá la fecha de validez, y te pedirá que te identifique con certificado digital. Luego te pedirá un teléfono móvil donde recibirás el pin y un correo electrónico. Dale a aceptar y bájate el pdf con la confirmación del proceso."
https://youtu.be/MjZeMMcoHP4,Carpeta ciudadana,#carpetaciudadana,,"Vamos a ver la carpeta ciudadana, es básicamente consultar los datos que tiene la administración sobre nosotros. En la descripción dejo el enlace. Nos pide que nos identifiquemos Y ya podemos consultar las notificaciones y también nuestros datos. Esta puede ser, por ejemplo, la forma mas rápida de sacar una vida laboral. Pero también puedes consultar los datos del padrón, titulaciones, inmuebles, y hasta los puntos del carnet de conducir. Echa un vistazo a tus datos, Mis expedientes Muestra un resumen de tus expedientes abiertos o en tramitación en las administraciones públicas. Y te facilita el acceso a la sede electrónica donde consultar el expediente completo o continuar la tramitación. Mis notificaciones Permite consultar tus notificaciones pendientes y comparecer en ellas. También te da acceso a las notificaciones realizadas, comunicaciones y tus anuncios en el Tablón Edictal Único. Mis datos Permite consultar y te da acceso a tus datos en poder de las administraciones públicas, a los intercambios de tu información que se producen entre las administraciones o a la gestión de tus apoderamientos. Mis registros Permite realizar solicitudes por el Registro Electrónico General, consultar las solicitudes presentadas y consultar el estado de estas en una administración pública con destino a otra."
https://youtu.be/5AD_FY783KA,Solicitar el número de la seguridad social,#segsocial,,"Enlace: https://sede.administracion.gob.es/carpeta Si empiezas a trabajar y es la primera vez que lo haces, puede ser que te pidan solicitar el numero de la seguridad social Entra en la página de la seguridad social. Pincha en sede electrónica y después en ciudadanos y dentro selecciona afiliación. Busca en el menú solicitar el número de la seguridad social. Tendrás que identificarte para terminar el proceso."
https://youtu.be/xiUKR1b6KgE,Simulador de jubilación,#segsocial,,"Vamos a hacer una simulación de jubilación. Entramos en la web de la seguridad social y pincha donde pone prestaciones de la seguridad social. Luego en interesado y entra con clave o certificado digital. Automáticamente saldrá lo que has cotizado y tendrás la opción de ver tus cotizaciones y otra para simular tu jubilación, Pincha en esto último y ya tienes una estimación de lo que cobrarás, Puedes ver cuánto cobrarías cambiando la fecha de jubilación. También puedes sacar un informe completo de los datos que se han tenido en cuenta para hacer la simulación,. Es muy útil para comprender como funciona el sistema. Aprovecha para comprobar tus datos de contacto."
https://youtu.be/F3e22Hj-qPU,Fórmate,#sae #websae,,"Tanto si estás trabajando como en desempleo debes formarte, hay recursos gratis como los que cuento a continuación: En la descripción del vídeo pongo los enlaces. En la página de la oficina virtual F P E https://www.juntadeandalucia.es/empleoformacionytrabajoautonomo/oficinavirtualFPE/ov-fpe/%23!welcome&sa=D&source=editors&ust=1637236879410000&usg=AOvVaw3Q5qC1BzkhFi3t4-lsqyda están los cursos para desempleados que gestiona la Junta de Andalucía. En la página de fundae https://www.fundae.es/trabajadores/buscador-de-cursos hay otro buscador a nivel estatal y también hay enlace a los cursos disponibles en otras comunidades http://www.sepe.es/HomeSepe/Personas/formacion/ofertas-formativas.html En esta página http://www.juntadeandalucia.es/organismos/empleoempresaycomercio/sae/servicios/cursos-fpe-estatal.html hay cursos que dice La Junta de Andalucía que tiene el SEPE. Muy interesante la formación online que hay disponible en fundae. https://www.fundae.es/digitalizate y estos otros Cursos online gratuitos vinculados a las nuevas tecnologías. https://www.juntadeandalucia.es/organismos/empleoformacionytrabajoautonomo/areas/formacion-empleo/cursos-online-digitales.html y por supuesto no te olvides de los cursos de “ANDALUCÍA ES DIGITAL” https://www.formacion.andaluciaesdigital.es/web/formacion"
